chrom	length	bases	mean	min	max
chr21_GL383580v2_alt	74653	83716	1.12	0	5
chr21_GL383581v2_alt	116689	67604	0.58	0	4
chr21_KI270872v1_alt	82692	57014	0.69	0	4
chr22_KI270875v1_alt	259914	128643	0.49	0	4
chr22_KI270878v1_alt	186262	130436	0.70	0	5
chr22_KI270879v1_alt	304135	230738	0.76	0	5
chr22_KI270876v1_alt	263666	174897	0.66	0	7
chr22_KI270877v1_alt	101331	72781	0.72	0	4
chr22_GL383583v2_alt	96924	47874	0.49	0	4
chr22_GL383582v2_alt	162811	49706	0.31	0	3
chrX_KI270880v1_alt	284869	126714	0.44	0	6
chrX_KI270881v1_alt	144206	30464	0.21	0	2
chr19_KI270882v1_alt	248807	41444	0.17	0	2
chr19_KI270883v1_alt	170399	3163	0.02	0	1
chr19_KI270884v1_alt	157053	2453	0.02	0	2
chr19_KI270885v1_alt	171027	832	0.00	0	1
chr19_KI270886v1_alt	204239	2919	0.01	0	2
chr19_KI270887v1_alt	209512	15678	0.07	0	3
chr19_KI270888v1_alt	155532	4384	0.03	0	1
chr19_KI270889v1_alt	170698	703	0.00	0	1
chr19_KI270890v1_alt	184499	20457	0.11	0	2
chr19_KI270891v1_alt	170680	430	0.00	0	1
chr1_KI270892v1_alt	162212	67670	0.42	0	4
chr2_KI270894v1_alt	214158	514463	2.40	0	23
chr2_KI270893v1_alt	161218	23390	0.15	0	2
chr3_KI270895v1_alt	162896	32169	0.20	0	3
chr4_KI270896v1_alt	378547	211503	0.56	0	14
chr5_KI270897v1_alt	1144418	539912	0.47	0	6
chr5_KI270898v1_alt	130957	16231	0.12	0	2
chr6_GL000251v2_alt	4795265	763115	0.16	0	4
chr7_KI270899v1_alt	190869	133525	0.70	0	10
chr8_KI270901v1_alt	136959	64047	0.47	0	4
chr8_KI270900v1_alt	318687	105531	0.33	0	5
chr11_KI270902v1_alt	106711	35137	0.33	0	3
chr11_KI270903v1_alt	214625	102232	0.48	0	5
chr12_KI270904v1_alt	572349	326762	0.57	0	4
chr15_KI270906v1_alt	196384	101285	0.52	0	3
chr15_KI270905v1_alt	5161414	2794040	0.54	0	10
chr17_KI270907v1_alt	137721	92257	0.67	0	5
chr17_KI270910v1_alt	157099	50513	0.32	0	3
chr17_KI270909v1_alt	325800	133328	0.41	0	5
chr17_JH159148v1_alt	88070	29571	0.34	0	3
chr17_KI270908v1_alt	1423190	1083331	0.76	0	7
chr18_KI270912v1_alt	174061	44989	0.26	0	3
chr18_KI270911v1_alt	157710	48719	0.31	0	4
chr19_GL949747v2_alt	729520	87245	0.12	0	2
chr22_KB663609v1_alt	74013	16145	0.22	0	2
chrX_KI270913v1_alt	274009	107336	0.39	0	5
chr19_KI270914v1_alt	205194	6047	0.03	0	1
chr19_KI270915v1_alt	170665	23242	0.14	0	2
chr19_KI270916v1_alt	184516	4509	0.02	0	1
chr19_KI270917v1_alt	190932	6180	0.03	0	1
chr19_KI270918v1_alt	123111	405	0.00	0	1
chr19_KI270919v1_alt	170701	12861	0.08	0	1
chr19_KI270920v1_alt	198005	2842	0.01	0	1
chr19_KI270921v1_alt	282224	46745	0.17	0	2
chr19_KI270922v1_alt	187935	2069	0.01	0	1
chr19_KI270923v1_alt	189352	19338	0.10	0	1
chr3_KI270924v1_alt	166540	41939	0.25	0	3
chr4_KI270925v1_alt	555799	331889	0.60	0	6
chr6_GL000252v2_alt	4604811	925925	0.20	0	5
chr8_KI270926v1_alt	229282	184048	0.80	0	5
chr11_KI270927v1_alt	218612	232440	1.06	0	8
chr19_GL949748v2_alt	1064304	38319	0.04	0	2
chr22_KI270928v1_alt	176103	126299	0.72	0	5
chr19_KI270929v1_alt	186203	2490	0.01	0	1
chr19_KI270930v1_alt	200773	1130	0.01	0	1
chr19_KI270931v1_alt	170148	1481	0.01	0	1
chr19_KI270932v1_alt	215732	1714	0.01	0	1
chr19_KI270933v1_alt	170537	1883	0.01	0	1
chr19_GL000209v2_alt	177381	15032	0.08	0	1
chr3_KI270934v1_alt	163458	40558	0.25	0	4
chr6_GL000253v2_alt	4677643	508673	0.11	0	4
chr19_GL949749v2_alt	1091841	36746	0.03	0	2
chr3_KI270935v1_alt	197351	32163	0.16	0	3
chr6_GL000254v2_alt	4827813	1259396	0.26	0	5
chr19_GL949750v2_alt	1066390	30803	0.03	0	3
chr3_KI270936v1_alt	164170	24011	0.15	0	2
chr6_GL000255v2_alt	4606388	713984	0.15	0	5
chr19_GL949751v2_alt	1002683	70247	0.07	0	2
chr3_KI270937v1_alt	165607	77722	0.47	0	4
chr6_GL000256v2_alt	4929269	1318979	0.27	0	7
chr19_GL949752v1_alt	987100	223773	0.23	0	5
chr6_KI270758v1_alt	76752	894	0.01	0	1
chr19_GL949753v2_alt	796479	100696	0.13	0	3
chr19_KI270938v1_alt	1066800	199599	0.19	0	4
chrM	16569	1022590	61.72	45	79
Un_KI270302v1	2274	581	0.26	0	2
Un_KI270304v1	2165	2752	1.27	0	3
Un_KI270303v1	1942	4066	2.09	2	3
Un_KI270305v1	1472	2360	1.60	0	3
Un_KI270322v1	21476	5046	0.23	0	2
Un_KI270320v1	4416	24513	5.55	1	8
Un_KI270310v1	1201	5347	4.45	0	9
Un_KI270316v1	1444	0	0.00	0	0
Un_KI270315v1	2276	0	0.00	0	0
Un_KI270312v1	998	0	0.00	0	0
Un_KI270311v1	12399	3223	0.26	0	2
Un_KI270317v1	37690	2906	0.08	0	1
Un_KI270412v1	1179	294	0.25	0	2
Un_KI270411v1	2646	3555	1.34	0	3
Un_KI270414v1	2489	0	0.00	0	0
Un_KI270419v1	1029	3110	3.02	0	6
Un_KI270418v1	2145	3816	1.78	0	3
Un_KI270420v1	2321	2810	1.21	0	2
Un_KI270424v1	2140	444	0.21	0	2
Un_KI270417v1	2043	3182	1.56	0	2
Un_KI270422v1	1445	2832	1.96	0	4
Un_KI270423v1	981	360	0.37	0	1
Un_KI270425v1	1884	790	0.42	0	2
Un_KI270429v1	1361	419	0.31	0	1
Un_KI270442v1	392061	1417487	3.62	0	14
Un_KI270466v1	1233	86216	69.92	19	99
Un_KI270465v1	1774	1033	0.58	0	2
Un_KI270467v1	3920	1606872	409.92	0	685
Un_KI270435v1	92983	234182	2.52	0	20
Un_KI270438v1	112505	7921929	70.41	0	1383
Un_KI270468v1	4055	6692	1.65	0	4
Un_KI270510v1	2415	13293	5.50	4	8
Un_KI270509v1	2318	6500	2.80	0	6
Un_KI270518v1	2186	5249	2.40	0	6
Un_KI270508v1	1951	6247	3.20	0	6
Un_KI270516v1	1300	6895	5.30	1	6
Un_KI270512v1	22689	39150	1.73	0	10
Un_KI270519v1	138126	419566	3.04	0	17
Un_KI270522v1	5674	1762	0.31	0	1
Un_KI270511v1	8127	20573	2.53	0	6
Un_KI270515v1	6361	68596	10.78	7	19
Un_KI270507v1	5353	9028	1.69	0	4
Un_KI270517v1	3253	12070	3.71	1	7
Un_KI270529v1	1899	1119	0.59	0	2
Un_KI270528v1	2983	562	0.19	0	1
Un_KI270530v1	2168	1807	0.83	0	2
Un_KI270538v1	91309	467494	5.12	0	37
Un_KI270544v1	1202	2648	2.20	0	5
Un_KI270548v1	1599	0	0.00	0	0
Un_KI270583v1	1400	1800	1.29	0	3
Un_KI270587v1	2969	5830	1.96	0	5
Un_KI270580v1	1553	802	0.52	0	2
Un_KI270581v1	7046	753	0.11	0	1
Un_KI270579v1	31033	12048	0.39	0	3
Un_KI270589v1	44474	90880	2.04	0	24
Un_KI270590v1	4685	27739	5.92	0	12
Un_KI270584v1	4513	5941	1.32	0	4
Un_KI270582v1	6504	530	0.08	0	1
Un_KI270588v1	6158	15414	2.50	0	5
Un_KI270593v1	3041	4674	1.54	0	4
Un_KI270591v1	5796	25100	4.33	2	7
Un_KI270330v1	1652	4986	3.02	0	9
Un_KI270329v1	1040	330	0.32	0	1
Un_KI270334v1	1368	0	0.00	0	0
Un_KI270333v1	2699	474573	175.83	0	307
Un_KI270335v1	1048	0	0.00	0	0
Un_KI270338v1	1428	0	0.00	0	0
Un_KI270340v1	1428	1126	0.79	0	1
Un_KI270336v1	1026	20785	20.26	4	41
Un_KI270337v1	1121	92071	82.13	1	104
Un_KI270363v1	1803	1788	0.99	0	3
Un_KI270362v1	3530	1212	0.34	0	1
Un_KI270366v1	8320	3589	0.43	0	2
Un_KI270389v1	1298	0	0.00	0	0
Un_KI270390v1	2387	0	0.00	0	0
Un_KI270387v1	1537	0	0.00	0	0
Un_KI270395v1	1143	658	0.58	0	2
Un_KI270396v1	1880	207	0.11	0	1
Un_KI270388v1	1216	0	0.00	0	0
Un_KI270394v1	970	0	0.00	0	0
Un_KI270386v1	1788	0	0.00	0	0
Un_KI270391v1	1484	0	0.00	0	0
Un_KI270383v1	1750	262	0.15	0	1
Un_KI270393v1	1308	0	0.00	0	0
Un_KI270384v1	1658	156	0.09	0	1
Un_KI270381v1	1930	0	0.00	0	0
Un_KI270385v1	990	0	0.00	0	0
Un_KI270382v1	4215	562	0.13	0	1
Un_KI270374v1	2656	0	0.00	0	0
Un_KI270372v1	1650	2911	1.76	0	3
Un_KI270375v1	2378	831	0.35	0	1
Un_KI270371v1	2805	303	0.11	0	1
Un_KI270448v1	7992	17866	2.24	1	4
Un_KI270521v1	7642	19628	2.57	0	6
Un_GL000195v1	182896	419792	2.30	0	11
Un_GL000219v1	179198	495145	2.76	0	12
Un_GL000220v1	161802	2654644	16.41	0	92
Un_GL000224v1	179693	1837331	10.22	0	172
Un_KI270741v1	157432	121726	0.77	0	5
Un_GL000226v1	15008	1570297	104.63	10	225
Un_GL000213v1	164239	14243	0.09	0	2
Un_KI270743v1	210658	361801	1.72	0	9
Un_KI270744v1	168472	885374	5.26	0	48
Un_KI270745v1	41891	24535	0.59	0	3
Un_KI270746v1	66486	265310	3.99	0	14
Un_KI270747v1	198735	215055	1.08	0	6
Un_KI270748v1	93321	41382	0.44	0	4
Un_KI270749v1	158759	398745	2.51	0	8
Un_KI270750v1	148850	377598	2.54	0	10
Un_KI270751v1	150742	480576	3.19	0	17
Un_KI270753v1	62944	113742	1.81	0	7
Un_KI270754v1	40191	311544	7.75	0	26
Un_KI270755v1	36723	65792	1.79	0	3
Un_KI270756v1	79590	137439	1.73	0	19
Un_KI270757v1	71251	407863	5.72	0	22
Un_GL000214v1	137718	399830	2.90	0	32
Un_KI270742v1	186739	536894	2.88	0	14
Un_GL000216v2	176608	1565911	8.87	0	91
Un_GL000218v1	161147	509706	3.16	0	9
chrX	156040895	99262923	0.64	0	25
chrY	57227415	32034458	0.56	0	517
chrY_KI270740v1_random	37240	26213	0.70	0	3
total	3209248861	3820576475	1.19	0	2757
